instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
0,sp_sp4,sp,3.69,11,6,9,0.0,0.0,0.0,0.0,False
1,er_n5_p0.38,er,25.62,17,5,10,0.7173421655642661,1.0,0.33333333333316667,0.23570226039539796,True
2,er_n6_p0.37,er,25.15,13,6,17,0.6297819314289639,0.632455532033676,0.19246481103972726,0.1585844249074691,True
3,er_n4_p0.3,er,18.06,15,4,6,0.9993943647302233,0.0,0.0,0.0,False
4,mesh_2x4,mesh,9.2,24,8,20,0.9999740117648503,0.9393364366277243,0.33331714340414764,0.3705962064193218,True
5,mesh_2x4,mesh,3.89,15,8,20,0.996948708992865,0.27774602993176545,0.1694226397441018,0.08769854127958024,True
6,sp_sp6,sp,22.35,7,8,11,0.8837452544120193,0.3714285714285715,0.16588065415878195,0.1005244641551872,True
7,er_n6_p0.34,er,7.21,19,4,5,0.790621071126472,0.0,0.0,0.0,False
8,er_n7_p0.45,er,2.3,19,7,19,0.4195033799335973,-0.5642880936468347,0.15422474886521606,0.16446139618881014,True
9,sp_sp3,sp,8.29,20,5,5,0.39731231978089987,0.0,0.0,0.0,False
10,mesh_2x2,mesh,33.0,20,4,8,0.3668404671519827,0.0,0.0,0.0,True
11,er_n5_p0.36,er,10.64,9,5,9,0.49790315532019147,0.8660254037844387,0.19047619047609524,0.23570226039539796,True
12,mesh_2x4,mesh,3.98,21,8,20,0.0,0.0,0.0,0.0,False
13,sp_sp4,sp,1.28,18,6,8,0.0,0.0,0.0,0.0,False
14,sp_sp6,sp,15.39,10,8,10,0.9724225398788874,0.33882260699853356,0.15118990906896457,0.15845450869046113,True
15,sp_sp6,sp,15.29,11,8,9,0.7295863691346545,-0.11595420713048969,0.06381980646615291,0.06034288677769574,True
16,er_n7_p0.34,er,12.76,8,6,9,0.40072976546657274,0.0,0.0,0.0,False
17,mesh_3x2,mesh,7.58,22,6,14,0.0,0.0,0.0,0.0,False
18,sp_sp5,sp,39.58,5,7,6,0.9333872454007661,0.0,0.0,0.0,False
19,sp_sp5,sp,4.09,17,7,8,0.0,0.0,0.0,0.0,False
20,mesh_2x2,mesh,2.15,23,4,8,0.0,0.0,0.0,0.0,False
21,mesh_3x3,mesh,23.46,17,9,24,0.9990530792328635,0.28068044571191997,0.20308746677989042,0.1391926367527605,True
22,mesh_2x5,mesh,14.11,23,10,26,0.521087658625212,0.4286458498432427,0.2969885773619621,0.21650635094552098,True
23,sp_sp6,sp,32.02,10,8,7,0.999991199582806,0.0,0.0,0.0,False
24,sp_sp6,sp,13.2,10,8,12,0.0,0.0,0.0,0.0,False
25,er_n7_p0.43,er,11.15,6,7,22,0.44204209855816246,0.5773502691896257,0.22108843537403491,0.2449489742781907,True
26,er_n9_p0.35,er,18.52,18,9,25,0.6398704080027571,0.2364331218717302,0.07969974438062417,0.09463420327974975,True
27,sp_sp6,sp,12.31,7,8,11,0.7210017406591345,0.29032258064516125,0.08372345664375568,0.2357264734184245,True
28,er_n7_p0.31,er,49.8,5,5,5,0.9961415817211541,0.0,0.0,0.0,False
29,sp_sp5,sp,23.57,18,7,10,0.9452061165622815,-0.22360679774997896,0.08467002581854155,0.12967730708039046,True
30,mesh_2x4,mesh,10.13,15,8,20,0.08761578123114142,0.10050378152592121,0.1989180464493849,0.2357309638805575,True
31,mesh_3x3,mesh,26.42,21,9,24,0.5462587045963545,0.5426488617097118,0.13935588809166055,0.0701591858159651,True
32,mesh_2x5,mesh,4.06,19,10,26,0.0,0.0,0.0,0.0,False
33,sp_sp4,sp,8.5,19,6,8,0.34470290760053307,-0.7777777777777779,0.019594013500530517,0.032492995459208945,True
