instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
181,sp_sp10,sp,17.82,10,12,16,0.20883830919418522,0.4724282017376836,0.11777778944501609,0.07018558596332786,True
182,er_n10_p0.36,er,6.9,7,9,29,0.4336088648700919,0.0,0.09627667861030816,0.0,True
183,sp_sp3,sp,7.35,12,5,6,0.541989862541744,0.0,0.0,0.0,True
184,sp_sp6,sp,7.08,11,8,10,0.3175088277860808,0.5002164033860247,0.21968256570308253,0.1301378624922819,True
185,sp_sp5,sp,8.11,6,7,7,0.4578412118545369,0.0,0.15238095238081906,0.0,True
186,mesh_3x3,mesh,10.24,14,9,24,0.9378691605225872,0.18712029714127995,0.10155389327037516,0.06203854361739782,True
187,sp_sp5,sp,8.06,5,7,9,0.5726732541691154,0.0,0.0,0.0,True
188,er_n7_p0.37,er,3.18,8,7,20,0.3297907551629244,0.8720815992723809,0.32457351096484344,0.3174114456533524,True
189,mesh_2x4,mesh,7.67,10,8,20,0.887974058825127,-0.06172133998483677,0.1757502124556655,0.09105239027469278,True
190,mesh_2x4,mesh,15.91,14,8,20,0.8288922658997522,-0.030860669992418384,0.14373847214846822,0.03948040957580602,True
191,sp_sp8,sp,15.87,9,10,14,0.17894893273409515,-0.203596464525254,0.15688639435702423,0.1257268220243378,True
192,sp_sp9,sp,16.82,8,11,15,0.5009008757570419,0.2447453470452194,0.1070753884116502,0.09535692749076,True
193,er_n9_p0.36,er,6.5,8,9,26,0.5379523261380466,0.0,0.0394557823128903,2.7755575615628914e-17,True
194,sp_sp5,sp,10.4,7,7,10,0.5284997462438527,0.6882472016116853,0.23145962532741415,0.24635577908906992,True
195,er_n5_p0.36,er,2.74,9,4,9,0.563530857917396,0.0,0.0,0.0,True
196,er_n11_p0.43,er,14.24,11,11,54,0.4811290754960583,0.33903175181040524,0.08591663693199796,0.16284494122889623,True
197,mesh_2x5,mesh,21.12,10,10,26,0.9255775968850196,0.6343350474165467,0.1429288079239555,0.04045750892970523,True
198,mesh_3x4,mesh,8.61,13,12,34,0.9489140484493879,-0.06135431191398489,0.06746204631798969,0.06812804509322501,True
199,mesh_3x4,mesh,12.47,12,12,34,0.9242568725483757,0.6687619998624351,0.15497907066981512,0.07855202529899825,True
