instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
45,sp_sp6,sp,31.89,16,8,10,0.09629421678147736,0.0,0.0,0.0,True
46,er_n7_p0.43,er,10.98,20,7,17,0.9988143288967585,0.6708203932499368,0.26789785681697725,0.2541904782096215,True
47,sp_sp5,sp,12.85,15,7,8,0.9973683631239432,0.31622776601683794,0.18199867637318012,0.21009604942928065,True
48,mesh_2x5,mesh,37.54,20,10,26,0.9795974373401315,0.0,0.0,0.0,True
49,sp_sp5,sp,11.65,5,7,9,0.7645593886024358,0.9733285267845754,0.2238927071400535,0.16350680811290302,True
50,mesh_3x3,mesh,14.7,22,9,24,0.47342713367116845,0.6831300510639732,0.33333333333314613,0.22587697572618598,True
51,sp_sp7,sp,3.61,19,9,12,0.9939658336221096,0.18531232916527532,0.19735248570128858,0.17341419020008175,True
52,mesh_3x2,mesh,13.91,17,6,14,0.9458164034424991,0.21081851067789195,0.2144561257673497,0.063632667093699,True
53,sp_sp2,sp,9.91,9,4,3,0.9975902963803835,0.0,0.0,0.0,True
54,sp_sp3,sp,11.5,19,5,6,0.045752342327143654,0.8660254037844387,0.16904561992716624,0.06649534802087129,True
55,er_n9_p0.32,er,15.04,6,8,18,0.892312482285372,0.03131121455425748,0.22096495363814073,0.1692927766392388,True
56,sp_sp4,sp,6.98,13,6,8,0.0,0.3333333333333333,0.333333333332916,0.4330127018916771,True
57,er_n8_p0.43,er,15.1,12,8,21,0.6570987260731768,0.5246313898711126,0.26165255203163346,0.17511731936221475,True
58,mesh_3x2,mesh,10.12,19,6,14,0.02516071585565354,0.5443310539518174,0.1766409266408605,0.15238436278744252,True
59,er_n12_p0.34,er,10.49,11,12,47,0.7548183730242495,0.5636363636363636,0.14953911110179238,0.09956413789717113,True
60,mesh_3x3,mesh,3.69,19,9,24,0.0,-0.4277926319464985,0.041666666666584126,0.34992710611118943,True
61,sp_sp5,sp,21.71,7,7,10,0.42827921874213903,0.9473684210526317,0.19179981944192384,0.01538418480428528,True
62,sp_sp6,sp,43.16,15,8,10,0.7974620087688312,0.0,0.0,0.0,True
