family,topology_type,J_star,B,C_total,C_min_path,budget_ratio_total,budget_ratio_path,alpha,n_nodes,n_edges,density,n_repairable,shortest_path_length,H
er,er_n7_p0.31,0.04029014013175573,5.69,29.7,4.0,0.1915824915824916,1.4225,0.19145857702989721,6,14,0.4666666666666667,4,2.0,25.0
er,er_n4_p0.37,0.5476297161118291,3.69,11.280000000000001,11.280000000000001,0.32712765957446804,0.32712765957446804,0.327225245389483,4,6,0.5,2,3.0,25.0
er,er_n9_p0.4,0.006765060797428066,12.32,37.47,2.13,0.3287963704296771,5.784037558685446,0.3287553656775093,9,32,0.4444444444444444,7,2.0,25.0
er,er_n6_p0.37,0.12386381580666742,3.24,16.79,3.46,0.1929720071471114,0.9364161849710984,0.1928116340173196,6,12,0.4,4,2.0,25.0
er,er_n8_p0.38,0.01751263790400534,11.38,31.96,4.06,0.3560700876095119,2.802955665024631,0.3560726221458625,8,18,0.32142857142857145,6,2.0,25.0
er,er_n4_p0.33,0.18495917479510018,1.86,5.2299999999999995,3.32,0.355640535372849,0.5602409638554218,0.3557871013620586,4,5,0.4166666666666667,2,2.0,25.0
er,er_n7_p0.27,0.17058354764296196,1.64,4.63,1.3,0.3542116630669546,1.2615384615384615,0.35430882139047476,4,4,0.3333333333333333,2,2.0,25.0
er,er_n6_p0.3,0.05365819914515279,9.24,19.93,2.98,0.4636226793778224,3.1006711409395975,0.46367776338110056,6,10,0.3333333333333333,4,2.0,25.0
er,er_n8_p0.39,0.7155429637242938,6.88,29.98,16.55,0.2294863242161441,0.4157099697885196,0.22952830006146763,7,16,0.38095238095238093,5,4.0,25.0
er,er_n7_p0.39,0.10342454677482489,4.69,30.459999999999997,3.4,0.15397242284963888,1.3794117647058826,0.15399526812410433,7,17,0.40476190476190477,5,2.0,25.0
er,er_n6_p0.39,0.0052349909667666495,14.13,24.939999999999998,1.16,0.566559743384122,12.181034482758623,0.5666885078702945,6,13,0.43333333333333335,4,2.0,25.0
er,er_n6_p0.27,0.6188739417270049,5.5,16.009999999999998,16.009999999999998,0.34353529044347286,0.34353529044347286,0.34325266081024064,4,5,0.4166666666666667,2,3.0,25.0
er,er_n10_p0.29,0.17086253371153112,28.67,55.730000000000004,16.32,0.5144446438184102,1.7567401960784315,0.5144612752110351,10,30,0.3333333333333333,8,3.0,25.0
er,er_n8_p0.37,0.32736640411672147,5.15,18.14,8.59,0.28390297684674753,0.59953434225844,0.2840099815343581,6,11,0.36666666666666664,4,3.0,25.0
er,er_n4_p0.36,0.36584141806631115,8.57,14.830000000000002,14.830000000000002,0.5778826702629803,0.5778826702629803,0.5780124759264842,4,4,0.3333333333333333,2,3.0,25.0
er,er_n7_p0.3,0.026558585745704254,20.65,37.07000000000001,6.04,0.5570542217426488,3.41887417218543,0.5569230085355636,7,16,0.38095238095238093,5,2.0,25.0
er,er_n6_p0.28,0.5967578874506625,3.47,12.69,12.69,0.27344365642237983,0.27344365642237983,0.2733161803194081,4,4,0.3333333333333333,2,3.0,25.0
er,er_n10_p0.29,0.09277803580080933,21.81,44.69,8.96,0.48802864175430744,2.434151785714285,0.4880475720629805,10,33,0.36666666666666664,8,3.0,25.0
er,er_n4_p0.31,0.28146747555666063,3.36,7.09,7.09,0.47390691114245415,0.47390691114245415,0.4742421206185129,3,2,0.3333333333333333,1,2.0,25.0
er,er_n6_p0.35,0.6310764877684014,8.25,21.889999999999997,19.65,0.37688442211055284,0.41984732824427484,0.37692378691886697,6,7,0.23333333333333334,4,4.0,25.0
er,er_n10_p0.38,0.09678100753757836,10.41,45.43,8.0,0.2291437376183139,1.30125,0.22915301069541272,10,36,0.4,8,3.0,25.0
er,er_n5_p0.31,0.31329104758724635,4.56,13.05,9.43,0.3494252873563218,0.4835630965005302,0.3495027533460404,4,7,0.5833333333333334,2,2.0,25.0
er,er_n4_p0.36,0.207787253442554,4.69,12.489999999999998,5.18,0.3755004003202563,0.9054054054054055,0.3758039439375193,4,7,0.5833333333333334,2,2.0,25.0
er,er_n7_p0.35,0.11821370165878486,9.13,17.84,3.48,0.5117713004484306,2.623563218390805,0.5116664854212382,6,11,0.36666666666666664,4,2.0,25.0
er,er_n6_p0.33,0.2280182741036862,2.93,13.34,3.71,0.219640179910045,0.7897574123989218,0.21975510577063206,4,5,0.4166666666666667,2,2.0,25.0
er,er_n4_p0.31,0.23419054244671053,3.93,9.78,7.71,0.4018404907975461,0.509727626459144,0.40229132268340095,4,7,0.5833333333333334,2,2.0,25.0
er,er_n9_p0.29,0.1930608710541124,18.22,34.35,5.75,0.5304221251819504,3.1686956521739127,0.5304523053281629,8,18,0.32142857142857145,6,2.0,25.0
er,er_n4_p0.38,0.40970936923981777,1.59,8.21,8.21,0.19366626065773446,0.19366626065773446,0.1942143458639296,3,4,0.6666666666666666,1,2.0,25.0
er,er_n7_p0.39,0.03721555713298474,10.63,20.9,5.11,0.5086124401913876,2.080234833659491,0.5084074014321888,5,11,0.55,3,2.0,25.0
er,er_n10_p0.33,0.06947382696983793,21.36,54.37999999999999,14.649999999999999,0.3927914674512689,1.4580204778156998,0.3928533753676385,10,34,0.37777777777777777,8,3.0,25.0
er,er_n4_p0.39,0.7461077024382479,2.18,16.200000000000003,16.200000000000003,0.13456790123456788,0.13456790123456788,0.13482507501657795,4,7,0.5833333333333334,2,3.0,25.0
er,er_n6_p0.34,0.12958467384574301,11.08,28.14,7.18,0.39374555792466237,1.543175487465181,0.39391584782854666,6,10,0.3333333333333333,4,2.0,25.0
er,er_n7_p0.36,0.0005088186322061448,14.82,24.82,1.3,0.59709911361805,11.4,0.5972022573811829,7,14,0.3333333333333333,5,2.0,25.0
er,er_n6_p0.37,0.025221979883441978,8.36,21.54,2.51,0.3881151346332405,3.3306772908366535,0.38810335304936916,6,14,0.4666666666666667,4,2.0,25.0
er,er_n8_p0.28,0.227409944565874,13.8,26.4,7.04,0.5227272727272728,1.960227272727273,0.5227806914598075,7,15,0.35714285714285715,5,3.0,25.0
er,er_n8_p0.37,0.2320823795312893,6.93,29.97,10.58,0.23123123123123124,0.6550094517958411,0.23127142829267966,7,16,0.38095238095238093,5,3.0,25.0
er,er_n5_p0.32,0.45028643682840735,0.89,3.52,3.52,0.2528409090909091,0.2528409090909091,0.2540786774308898,3,2,0.3333333333333333,1,2.0,25.0
er,er_n6_p0.39,0.2837162603747315,5.83,22.25,9.69,0.26202247191011235,0.6016511867905057,0.2621886881388785,6,13,0.43333333333333335,4,3.0,25.0
er,er_n9_p0.36,0.003726259905154727,26.11,46.94,6.46,0.5562420110779719,4.041795665634675,0.5561447633252196,9,32,0.4444444444444444,7,2.0,25.0
er,er_n9_p0.38,0.04678905257966482,18.38,29.990000000000002,2.6500000000000004,0.6128709569856619,6.9358490566037725,0.6129989091457161,9,20,0.2777777777777778,7,3.0,25.0
er,er_n4_p0.34,0.18995301547980792,3.61,12.59,5.01,0.28673550436854645,0.720558882235529,0.28677558712211965,4,5,0.4166666666666667,2,2.0,25.0
er,er_n9_p0.31,0.09865491363418162,14.84,51.22,11.52,0.2897305739945334,1.2881944444444444,0.2896635904105727,9,24,0.3333333333333333,7,3.0,25.0
er,er_n5_p0.4,0.5795169829889746,2.98,11.96,11.96,0.24916387959866218,0.24916387959866218,0.24949577646782772,4,5,0.4166666666666667,2,3.0,25.0
er,er_n4_p0.28,0.7680201385237585,1.79,13.190000000000001,13.190000000000001,0.13570887035633053,0.13570887035633053,0.13603108996686938,4,4,0.3333333333333333,2,3.0,25.0
er,er_n8_p0.3,0.36261497699863815,13.42,26.25,11.44,0.5112380952380953,1.1730769230769231,0.5112697159184233,8,16,0.2857142857142857,6,4.0,25.0
er,er_n9_p0.39,0.04382028676884007,8.55,37.51,4.51,0.22793921620901098,1.895787139689579,0.22793732706654923,9,27,0.375,7,2.0,25.0
er,er_n7_p0.34,0.020282069915601185,18.27,40.22,6.04,0.45425161611138737,3.0248344370860925,0.45431075360352297,7,18,0.42857142857142855,5,2.0,25.0
er,er_n6_p0.33,0.05417498231243501,6.52,18.47,2.81,0.3530048727666486,2.3202846975088964,0.35274811108318427,6,14,0.4666666666666667,4,2.0,25.0
er,er_n9_p0.27,0.007359735739502324,12.72,38.849999999999994,3.72,0.3274131274131275,3.4193548387096775,0.32746517257310226,9,20,0.2777777777777778,7,2.0,25.0
er,er_n10_p0.31,0.011016972974574112,17.2,47.53999999999999,4.67,0.361800588977703,3.6830835117773018,0.3617290076830766,10,28,0.3111111111111111,8,2.0,25.0
er,er_n8_p0.28,0.13869203329369806,9.01,20.46,5.51,0.44037145650048876,1.6352087114337568,0.4401308457594611,6,13,0.43333333333333335,4,2.0,25.0
er,er_n9_p0.31,0.015215187325855582,9.7,25.63,1.16,0.37846273897776045,8.362068965517242,0.3785347164840097,8,18,0.32142857142857145,6,2.0,25.0
er,er_n7_p0.31,0.4721468729678638,13.95,37.9,20.58,0.3680738786279683,0.6778425655976676,0.36795981852325527,7,13,0.30952380952380953,5,4.0,25.0
er,er_n9_p0.3,0.15172332151744336,8.45,37.269999999999996,8.79,0.2267239066273142,0.9613196814562003,0.22677416829210345,8,21,0.375,6,2.0,25.0
er,er_n10_p0.33,0.12571655947986607,7.41,44.41,7.66,0.1668543120918712,0.9673629242819843,0.16679548795805613,10,28,0.3111111111111111,8,2.0,25.0
er,er_n5_p0.31,0.1068471966118515,4.45,19.61,5.58,0.22692503824579296,0.7974910394265233,0.22687895053871004,5,8,0.4,3,2.0,25.0
er,er_n8_p0.29,0.14392109782809023,7.4,29.54,5.77,0.25050778605280977,1.2824956672443675,0.2505517719668512,6,11,0.36666666666666664,4,2.0,25.0
er,er_n7_p0.39,0.3689770458370278,15.95,30.11,14.809999999999999,0.529724344071737,1.0769750168804861,0.5296106430874877,7,17,0.40476190476190477,5,4.0,25.0
er,er_n5_p0.34,0.16918292031306664,4.56,8.95,1.12,0.5094972067039106,4.07142857142857,0.5100310347069599,4,5,0.4166666666666667,2,2.0,25.0
er,er_n8_p0.38,0.16085239555852543,12.84,35.22,10.78,0.3645655877342419,1.1910946196660483,0.36464889138330536,7,17,0.40476190476190477,5,3.0,25.0
er,er_n7_p0.32,0.26380590652946934,14.23,29.310000000000002,16.59,0.4854998294097577,0.8577456298975287,0.48561651642125375,6,16,0.5333333333333333,4,3.0,25.0
er,er_n6_p0.39,0.2171699530031219,4.66,14.639999999999999,6.71,0.31830601092896177,0.6944858420268256,0.31825736012962696,5,10,0.5,3,2.0,25.0
er,er_n5_p0.29,0.17574563815507194,6.22,11.98,7.58,0.5191986644407345,0.8205804749340369,0.5194725234825832,4,4,0.3333333333333333,2,2.0,25.0
er,er_n7_p0.35,0.6945474216918441,2.87,14.270000000000001,12.850000000000001,0.20112123335669235,0.2233463035019455,0.20124578901687015,5,9,0.45,3,3.0,25.0
er,er_n5_p0.28,0.21158284897961718,6.2,19.93,6.92,0.31108881083793277,0.8959537572254336,0.31100402141280864,5,10,0.5,3,2.0,25.0
er,er_n9_p0.3,0.015827530045955968,15.78,39.25,5.93,0.40203821656050953,2.661045531197302,0.40191926205411027,9,27,0.375,7,2.0,25.0
er,er_n4_p0.3,0.06072518556486631,5.02,10.899999999999999,2.71,0.46055045871559636,1.8523985239852396,0.46022781025955295,4,8,0.6666666666666666,2,2.0,25.0
er,er_n7_p0.32,0.031177108163704653,13.05,37.79,6.05,0.34532945223604133,2.15702479338843,0.3452018593494597,7,15,0.35714285714285715,5,2.0,25.0
er,er_n9_p0.3,0.4078077902175916,13.87,32.25,16.0,0.43007751937984495,0.866875,0.4300366374241745,8,15,0.26785714285714285,6,4.0,25.0
er,er_n8_p0.28,0.09115382621924699,11.08,31.479999999999997,9.6,0.35196950444726816,1.1541666666666668,0.35208843020043007,7,14,0.3333333333333333,5,2.0,25.0
er,er_n7_p0.37,0.38957840568811314,1.98,9.71,9.71,0.20391349124613797,0.20391349124613797,0.20404559065140784,3,4,0.6666666666666666,1,2.0,25.0
er,er_n4_p0.28,0.388931447736883,2.35,8.67,8.67,0.2710495963091119,0.2710495963091119,0.27052954121781975,3,2,0.3333333333333333,1,2.0,25.0
er,er_n5_p0.33,0.5550300465012736,3.01,10.559999999999999,10.559999999999999,0.2850378787878788,0.2850378787878788,0.28516350649434824,4,8,0.6666666666666666,2,3.0,25.0
er,er_n9_p0.32,0.29009456075013645,12.94,34.300000000000004,15.85,0.3772594752186588,0.816403785488959,0.37724022361686677,8,17,0.30357142857142855,6,3.0,25.0
er,er_n8_p0.27,0.17406550403268564,11.75,19.56,7.36,0.6007157464212679,1.5964673913043477,0.6009473261339843,5,9,0.45,3,2.0,25.0
er,er_n8_p0.38,0.010138031088874703,6.5,19.88,1.38,0.3269617706237425,4.710144927536232,0.32687421742831857,8,25,0.44642857142857145,6,2.0,25.0
er,er_n6_p0.35,0.555459321947372,6.73,18.22,15.219999999999999,0.3693743139407245,0.4421813403416558,0.3695901689100688,5,6,0.3,3,3.0,25.0
er,er_n11_p0.3,0.0041844899968268975,18.99,53.69000000000001,1.12,0.3536971503073197,16.95535714285714,0.35372904221901924,11,34,0.3090909090909091,9,2.0,25.0
er,er_n7_p0.33,0.40592902025836575,2.98,21.65,5.27,0.13764434180138568,0.5654648956356737,0.13754569788634474,7,13,0.30952380952380953,5,3.0,25.0
er,er_n5_p0.35,0.20096211607263215,0.9,1.63,1.63,0.5521472392638037,0.5521472392638037,0.5491038902014916,3,3,0.5,1,2.0,25.0
er,er_n7_p0.3,0.30728457203834303,13.27,29.78,7.359999999999999,0.4456010745466756,1.8029891304347827,0.4457108521743879,7,14,0.3333333333333333,5,3.0,25.0
er,er_n7_p0.34,0.2336652221765594,5.67,19.75,7.81,0.2870886075949367,0.7259923175416133,0.28718285509065816,5,8,0.4,3,2.0,25.0
er,er_n9_p0.33,0.3618341629439324,2.08,9.26,7.68,0.224622030237581,0.27083333333333337,0.2250433520543924,4,6,0.5,2,2.0,25.0
er,er_n7_p0.38,0.14650705795598698,5.2,18.72,5.52,0.2777777777777778,0.9420289855072465,0.2777971862758393,7,15,0.35714285714285715,5,2.0,25.0
er,er_n12_p0.27,0.03421460538062042,32.28,59.019999999999996,4.03,0.5469332429684853,8.009925558312656,0.5468954637432363,11,32,0.2909090909090909,9,2.0,25.0
er,er_n11_p0.38,0.052737471920648114,12.25,43.25,3.73,0.2832369942196532,3.284182305630027,0.283258167953098,11,43,0.39090909090909093,9,3.0,25.0
er,er_n9_p0.29,0.3336493891088525,7.03,26.589999999999996,7.43,0.2643851071831516,0.9461641991924631,0.26445082059331126,9,22,0.3055555555555556,7,3.0,25.0
er,er_n6_p0.38,0.14125504352263993,7.93,21.099999999999998,9.78,0.375829383886256,0.810838445807771,0.375966670272195,5,7,0.35,3,2.0,25.0
er,er_n7_p0.36,0.24838062267423097,2.09,22.29,3.72,0.09376401973979363,0.5618279569892473,0.0937993188929516,7,14,0.3333333333333333,5,2.0,25.0
er,er_n9_p0.31,0.2745527400282628,14.94,33.089999999999996,8.17,0.45149592021758844,1.828641370869033,0.4514384077577688,8,17,0.30357142857142855,6,3.0,25.0
er,er_n7_p0.28,0.10402453105200146,6.83,23.41,2.6,0.2917556599743699,2.626923076923077,0.29196477780666125,7,15,0.35714285714285715,5,3.0,25.0
er,er_n4_p0.27,0.27205377618915977,4.8,16.09,8.39,0.29832193909260407,0.572109654350417,0.2985856415867031,4,7,0.5833333333333334,2,2.0,25.0
er,er_n8_p0.37,0.21332581396890307,21.0,38.2,13.18,0.5497382198952879,1.5933232169954477,0.5498275736517504,8,21,0.375,6,3.0,25.0
er,er_n4_p0.28,0.6679776939982037,1.22,4.88,4.88,0.25,0.25,0.2509278315952838,4,4,0.3333333333333333,2,3.0,25.0
er,er_n9_p0.31,0.12418664993190628,13.16,36.85,2.92,0.35712347354138396,4.506849315068493,0.35701055282699984,9,28,0.3888888888888889,7,2.0,25.0
er,er_n8_p0.31,0.27227904454491797,9.52,32.42,13.24,0.2936458975940777,0.7190332326283988,0.29352401460543665,7,19,0.4523809523809524,5,3.0,25.0
er,er_n7_p0.32,0.07081694016810038,17.93,36.44,9.23,0.4920417124039517,1.942578548212351,0.4920748135340206,7,14,0.3333333333333333,5,2.0,25.0
er,er_n8_p0.37,0.11399024193954035,7.5,32.66,6.38,0.22963870177587264,1.1755485893416928,0.22976923954112263,8,22,0.39285714285714285,6,2.0,25.0
er,er_n9_p0.36,0.16636809819370624,12.31,35.89,7.12,0.3429924770130956,1.728932584269663,0.342926644340779,8,22,0.39285714285714285,6,2.0,25.0
er,er_n5_p0.27,0.5416525869249571,4.84,11.55,11.55,0.419047619047619,0.419047619047619,0.4191644217646576,4,3,0.25,2,3.0,25.0
er,er_n8_p0.38,0.3864926501290036,17.08,34.18,11.85,0.49970743124634287,1.4413502109704641,0.49983742562863165,8,14,0.25,6,4.0,25.0
er,er_n7_p0.31,0.16988379701895173,17.88,30.410000000000004,3.72,0.5879644853666556,4.806451612903225,0.5880208984996599,7,16,0.38095238095238093,5,2.0,25.0
er,er_n7_p0.39,0.255924213815218,15.48,37.18000000000001,13.530000000000001,0.41635287789133935,1.1441241685144123,0.41641554165175937,7,16,0.38095238095238093,5,3.0,25.0
er,er_n5_p0.34,0.3473107545350356,0.53,1.58,1.58,0.33544303797468356,0.33544303797468356,0.33678371150725944,3,3,0.5,1,2.0,25.0
er,er_n7_p0.39,0.05239290985822275,5.51,16.81,3.24,0.3277810826888757,1.700617283950617,0.32754193510899005,6,13,0.43333333333333335,4,2.0,25.0
er,er_n7_p0.35,0.009520776115218801,13.09,31.88,6.67,0.41060225846925974,1.9625187406296851,0.4105877189852996,7,16,0.38095238095238093,5,2.0,25.0
er,er_n4_p0.35,0.3229111148998198,2.06,5.0,5.0,0.41200000000000003,0.41200000000000003,0.41189442406710375,3,3,0.5,1,2.0,25.0
er,er_n7_p0.28,0.2580728150849858,3.5,21.14,9.22,0.16556291390728475,0.3796095444685466,0.1656241467651139,6,9,0.3,4,2.0,25.0
er,er_n11_p0.39,0.005070042928207096,23.5,48.83,5.24,0.481261519557649,4.484732824427481,0.48120255583646016,11,36,0.32727272727272727,9,2.0,25.0
er,er_n11_p0.37,0.3551188956877666,4.43,57.19,9.15,0.0774610945969575,0.4841530054644808,0.07738521357877627,11,37,0.33636363636363636,9,3.0,25.0
er,er_n7_p0.27,0.5145991207163176,6.4,15.14,15.14,0.4227212681638045,0.4227212681638045,0.4223988341774833,4,5,0.4166666666666667,2,3.0,25.0
er,er_n8_p0.31,0.16139817170621257,7.51,16.45,2.4,0.45653495440729486,3.129166666666667,0.4567864494978664,7,16,0.38095238095238093,5,2.0,25.0
er,er_n9_p0.39,0.036839105464637444,9.09,50.239999999999995,7.97,0.1809315286624204,1.1405269761606023,0.18084022306042088,9,31,0.4305555555555556,7,2.0,25.0
er,er_n7_p0.39,0.14886458383300313,6.97,25.380000000000003,7.4,0.2746256895193065,0.9418918918918918,0.2745426353210608,7,17,0.40476190476190477,5,2.0,25.0
er,er_n7_p0.34,0.08879423915568804,13.04,26.39,1.77,0.4941265630920803,7.367231638418079,0.49410998082840346,7,22,0.5238095238095238,5,2.0,25.0
er,er_n6_p0.37,0.15128692173483707,19.93,31.83,8.55,0.626138862708137,2.3309941520467836,0.6261690798285431,6,10,0.3333333333333333,4,2.0,25.0
er,er_n6_p0.3,0.17927808215366473,5.14,13.19,6.07,0.38968915845337376,0.8467874794069192,0.38940015140355594,6,9,0.3,4,2.0,25.0
er,er_n9_p0.3,0.25412826569274916,10.77,42.2,9.43,0.2552132701421801,1.1420996818663838,0.255152538299223,8,22,0.39285714285714285,6,3.0,25.0
er,er_n10_p0.36,0.1187243109406544,11.01,50.16,9.21,0.2194976076555024,1.1954397394136806,0.2195012463708002,9,24,0.3333333333333333,7,2.0,25.0
er,er_n6_p0.28,0.3888959353311339,3.02,23.52,8.87,0.1284013605442177,0.34047350620067646,0.12854748131054666,5,7,0.35,3,2.0,25.0
er,er_n6_p0.29,0.5601555173450412,13.95,23.12,23.12,0.6033737024221453,0.6033737024221453,0.6033925317609127,5,8,0.4,3,4.0,25.0
er,er_n8_p0.39,0.11399024193954033,9.62,27.32,1.96,0.3521229868228404,4.908163265306122,0.3522506991943849,8,17,0.30357142857142855,6,2.0,25.0
er,er_n10_p0.3,0.003983504854421649,18.78,50.05,5.74,0.37522477522477526,3.2717770034843205,0.37527941085059197,10,33,0.36666666666666664,8,2.0,25.0
er,er_n6_p0.29,0.32229307444070493,9.87,19.31,7.49,0.5111341273951321,1.3177570093457942,0.5110475954971548,6,7,0.23333333333333334,4,3.0,25.0
er,er_n8_p0.29,0.2650359106539518,10.37,30.81,9.31,0.3365790327815644,1.1138560687432866,0.3364699553557231,7,16,0.38095238095238093,5,3.0,25.0
er,er_n5_p0.32,0.1468820141754805,3.4,8.11,1.67,0.4192355117139334,2.035928143712575,0.4187629927510016,4,6,0.5,2,2.0,25.0
er,er_n4_p0.38,0.25726082478442813,2.29,8.89,3.44,0.2575928008998875,0.6656976744186047,0.2573620993682228,4,7,0.5833333333333334,2,2.0,25.0
er,er_n10_p0.33,0.03337454158385675,20.78,50.79,3.82,0.40913565662532,5.439790575916231,0.4091222547399053,10,33,0.36666666666666664,8,2.0,25.0
er,er_n7_p0.39,0.3290811513612122,11.94,30.42,15.77,0.3925049309664694,0.7571337983512999,0.39246453709653173,7,15,0.35714285714285715,5,3.0,25.0
er,er_n6_p0.4,0.29433461976782155,2.5,23.2,6.91,0.10775862068965518,0.361794500723589,0.10758056065683162,6,10,0.3333333333333333,4,2.0,25.0
er,er_n9_p0.29,0.13900885754958758,7.91,34.26,6.97,0.23088149445417397,1.1348637015781924,0.23082637297966857,9,22,0.3055555555555556,7,2.0,25.0
er,er_n9_p0.38,0.25220460529261823,11.79,33.8,8.23,0.3488165680473373,1.4325637910085054,0.3489391993533748,9,27,0.375,7,3.0,25.0
er,er_n6_p0.34,0.18744290662021612,3.19,8.82,5.31,0.36167800453514737,0.60075329566855,0.362198358749723,5,8,0.4,3,2.0,25.0
er,er_n12_p0.32,0.060671407638249644,9.17,58.47,6.8,0.1568325637078844,1.348529411764706,0.15687413465448316,12,31,0.23484848484848486,10,2.0,25.0
er,er_n8_p0.35,0.06700954742778409,4.53,40.13999999999999,2.72,0.11285500747384158,1.6654411764705883,0.11294614612601513,8,19,0.3392857142857143,6,2.0,25.0
er,er_n4_p0.37,0.19039837820309163,4.21,9.120000000000001,3.43,0.4616228070175438,1.227405247813411,0.4619193537209734,4,6,0.5,2,2.0,25.0
er,er_n5_p0.3,0.14878345092486842,6.83,16.4,6.98,0.4164634146341464,0.9785100286532951,0.4164085208342009,4,6,0.5,2,2.0,25.0
er,er_n5_p0.36,0.32731814875417753,2.4,8.64,8.64,0.27777777777777773,0.27777777777777773,0.2782404900685949,3,2,0.3333333333333333,1,2.0,25.0
er,er_n5_p0.32,0.2784944668276033,1.2,3.28,3.28,0.36585365853658536,0.36585365853658536,0.36721555628889163,3,3,0.5,1,2.0,25.0
