Train/val dataset: 3000 graphes
Benchmark fixe: 900 graphes
Epoch 67/120, Train Loss: 0.0019, Val Loss: 0.0019, Benchmark Loss: 0.0048
Epoch 68/120, Train Loss: 0.0020, Val Loss: 0.0031, Benchmark Loss: 0.0065
Epoch 69/120, Train Loss: 0.0021, Val Loss: 0.0021, Benchmark Loss: 0.0040
Epoch 70/120, Train Loss: 0.0017, Val Loss: 0.0027, Benchmark Loss: 0.0048
Epoch 71/120, Train Loss: 0.0019, Val Loss: 0.0019, Benchmark Loss: 0.0039
Epoch 72/120, Train Loss: 0.0018, Val Loss: 0.0031, Benchmark Loss: 0.0067
Epoch 73/120, Train Loss: 0.0020, Val Loss: 0.0023, Benchmark Loss: 0.0062
Epoch 74/120, Train Loss: 0.0021, Val Loss: 0.0033, Benchmark Loss: 0.0049
Epoch 75/120, Train Loss: 0.0019, Val Loss: 0.0038, Benchmark Loss: 0.0065
Epoch 76/120, Train Loss: 0.0017, Val Loss: 0.0063, Benchmark Loss: 0.0100
Epoch 77/120, Train Loss: 0.0015, Val Loss: 0.0021, Benchmark Loss: 0.0055
Epoch 78/120, Train Loss: 0.0018, Val Loss: 0.0022, Benchmark Loss: 0.0042
Epoch 79/120, Train Loss: 0.0025, Val Loss: 0.0025, Benchmark Loss: 0.0058
Epoch 80/120, Train Loss: 0.0015, Val Loss: 0.0021, Benchmark Loss: 0.0052
Epoch 81/120, Train Loss: 0.0015, Val Loss: 0.0019, Benchmark Loss: 0.0044
Epoch 82/120, Train Loss: 0.0018, Val Loss: 0.0017, Benchmark Loss: 0.0041
Epoch 83/120, Train Loss: 0.0016, Val Loss: 0.0027, Benchmark Loss: 0.0050
Epoch 84/120, Train Loss: 0.0016, Val Loss: 0.0034, Benchmark Loss: 0.0074
Epoch 85/120, Train Loss: 0.0015, Val Loss: 0.0023, Benchmark Loss: 0.0045
Epoch 86/120, Train Loss: 0.0016, Val Loss: 0.0037, Benchmark Loss: 0.0055
Epoch 87/120, Train Loss: 0.0018, Val Loss: 0.0022, Benchmark Loss: 0.0044
Epoch 88/120, Train Loss: 0.0014, Val Loss: 0.0023, Benchmark Loss: 0.0051
Epoch 89/120, Train Loss: 0.0017, Val Loss: 0.0025, Benchmark Loss: 0.0055
Epoch 90/120, Train Loss: 0.0014, Val Loss: 0.0024, Benchmark Loss: 0.0048
Epoch 91/120, Train Loss: 0.0015, Val Loss: 0.0021, Benchmark Loss: 0.0040
Epoch 92/120, Train Loss: 0.0015, Val Loss: 0.0018, Benchmark Loss: 0.0051
Epoch 93/120, Train Loss: 0.0015, Val Loss: 0.0019, Benchmark Loss: 0.0046
Epoch 94/120, Train Loss: 0.0016, Val Loss: 0.0018, Benchmark Loss: 0.0043
